vessel_id,SpeedOG,FOCDeviation,wind_speed,draft
1007,18.19,12.1,8.5,8.555
1007,18.12,17.5,8.5,8.54
1007,18.19,10.5,6.93,8.54
1007,18.52,6.5,6.93,8.565
1007,18.5,5.7,6.93,8.575
1007,18.42,5.2,6.93,8.585
1007,18.75,5.8,4.77,8.54
1007,17.91,6.2,4.77,8.435
1007,17.61,11.8,4.77,8.455
1007,14.88,15.4,2.67,8.4
1007,14.65,17.8,2.67,8.43
1007,14.67,19.2,2.67,8.4
1007,14.54,22.1,2.67,8.4
1007,14.31,27.7,2.67,8.35
1007,13.82,42.5,2.67,8.335
1007,13.92,42.2,2.67,8.31
1007,14.17,32.1,2.67,8.315
1007,14.3,28.5,2.67,8.32
1007,17.11,14.1,11.37,14.21
1007,16.57,20.2,11.37,13.855
1007,16.5,23.6,11.37,13.515
1007,16.71,22.6,12.52,13.44
1007,16.7,14,12.52,13.385
1007,17.06,7.2,12.52,13.395
1007,16.8,11.9,12.52,13.395
1007,16.75,13.6,12.52,13.41
1007,16.99,10.6,12.52,13.435
1007,17.18,7.6,12.52,13.46
1007,17.04,8.6,12.52,13.46
1007,16.95,10.9,12.52,13.435
1007,17.05,7.8,12.52,13.445
1007,18.07,8.8,8.58,13.39
1007,18.09,8,8.58,13.38
1007,17.99,9.7,8.58,13.36
1007,18,9.9,8.58,13.39
1007,18.05,9.3,8.58,13.385
1007,18,9.4,8.58,13.395
1007,18.12,8.6,8.58,13.385
1007,17.71,7.5,9.81,13.365
1007,17.71,7.1,9.81,13.38
1007,18.1,7,9.81,13.435
1007,18.1,11.2,8.51,13.435
1007,18,12.7,8.51,13.415
1007,17.94,14,8.51,13.415
1007,17.89,14.7,8.51,13.425
1007,17.87,14.7,8.51,13.425
1007,17.87,15.9,8.51,13.43
1007,17.9,14.5,8.51,13.46
1007,17.75,18,8.51,13.48
1007,17.54,20.3,8.51,13.475
1007,17.4,25.3,8.51,13.505
1007,17.35,25.1,8.51,13.505
1007,17.37,28.3,8.51,13.495
1007,17.4,21.2,9.8,13.47
1007,17.34,23.6,9.8,13.47
1007,17.43,23.5,9.8,13.47
1007,17.23,30.8,9.8,13.495
1007,17.35,26,9.8,13.49
1007,17.45,26.4,9.8,13.495
1007,17.28,26,9.8,13.5
1007,17.02,33.6,9.8,13.52
1007,16.8,40.6,9.8,13.515
1007,17.16,32.3,9.8,13.54
1007,17.27,26.5,9.8,13.54
1007,17.16,28.2,9.8,13.555
1007,16.78,27.5,10.29,13.55
1007,16.49,35.6,10.29,13.58
1007,16.46,39.3,10.29,13.575
1007,16.56,37.3,10.29,13.54
1007,16.52,32.7,10.29,13.57
1007,16.43,36.2,10.29,13.56
1007,16.19,52.1,10.29,13.54
1007,16.3,42.5,10.29,13.545
1007,16.11,60,10.29,13.565
1007,16.85,42.4,10.29,13.565
1007,16.91,46.9,10.29,13.62
1007,17.36,54.5,8.52,13.585
1007,17.47,52.8,8.52,13.56
1007,17.51,51.9,8.52,13.57
1007,17.71,46.2,8.52,13.54
1007,17.62,46.1,8.52,13.5
1007,17.63,42.9,8.52,13.51
1007,17.64,43.5,8.52,13.54
1007,17.7,42.7,8.52,13.55
1007,17.79,39.9,8.52,13.515
1007,17.9,37.1,8.52,13.52
1007,17.9,37.9,8.52,13.54
1007,17.91,37.8,8.52,13.595
1007,15.92,50.9,9.29,14.895
1007,15.17,58.3,9.29,14.77
1007,15.97,49.9,9.29,14.765
1007,16.2,58.7,9.29,14.715
1007,16.58,44.3,9.29,14.615
1007,17.08,28,9.29,14.67
1007,17.23,27.8,9.29,14.65
1007,17.4,22.4,9.29,14.645
1007,17.31,23.1,9.29,14.645
1007,17.3,24.1,9.29,14.625
1007,17.45,28.1,9.29,14.625
1007,17.72,14.4,12.21,13.525
1007,17.25,20.7,12.21,13.77
1007,17.08,28.7,12.21,13.72
1007,16.68,37.1,12.21,13.855
1007,19.04,28,10.3,13.385
1007,19.03,25.4,10.3,13.39
1007,18.87,30,10.3,13.39
1007,18.8,30.9,10.3,13.38
1007,18.93,29.4,10.3,13.37
1007,18.89,29.4,10.3,13.39
1007,18.91,29.1,10.3,13.37
1007,18.75,32.3,10.3,13.385
1007,18.83,30.9,10.3,13.405
1007,18.9,28.9,10.3,13.41
1007,18.81,30.7,10.3,13.385
1007,18.89,29.3,10.3,13.395
1007,18.84,29.1,10.86,13.39
1007,18.84,29.5,10.86,13.38
1007,18.8,29.8,10.86,13.355
1007,18.79,29.7,10.86,13.385
1007,18.7,32.6,10.86,13.36
1007,18.7,31.3,10.86,13.365
1007,18.8,29,10.86,13.37
1007,18.73,30.6,10.86,13.38
1007,19,29.2,10.86,13.355
1007,19.03,28.1,10.86,13.365
1007,19.03,28,10.86,13.35
1007,19.1,25.6,10.86,13.33
1007,19.11,26.8,10.93,13.35
1007,19.2,24.9,10.93,13.345
1007,19.26,23.8,10.93,13.37
1007,19.3,22,10.93,13.34
1007,19.3,20.9,10.93,13.355
1007,19.23,23.1,10.93,13.365
1007,19.21,23.3,10.93,13.33
1007,19.16,24.7,10.93,13.335
1007,19.16,24.7,10.93,13.36
1007,19.2,23.8,10.93,13.335
1007,19.21,22.9,10.93,13.34
1007,19.14,24.4,10.93,13.355
1007,19.1,30.4,12.15,13.32
1007,19.03,18.2,12.15,13.34
1007,18.69,35.4,12.15,13.35
1007,19.05,30.6,12.15,13.37
1007,19,32.1,12.15,13.36
1007,18.93,35,12.15,13.36
1007,18.88,34.7,12.15,13.365
1007,18.9,34.5,12.15,13.37
1007,18.96,33,12.15,13.345
1007,19,30.9,12.15,13.34
1007,18.93,32.3,12.15,13.345
1007,18.93,33,12.15,13.36
1007,18.98,31.4,11.94,13.35
1007,19.08,28.9,11.94,13.37
1007,18.9,31.4,11.94,13.355
1007,18.95,31.1,11.94,13.355
1007,19,29.5,11.94,13.365
1007,18.95,30.1,11.94,13.325
1007,19,28.8,11.94,13.33
1007,19.04,28.9,11.94,13.33
1007,19.1,27.1,11.94,13.37
1007,19.16,25.6,11.94,13.345
1007,19.11,26.9,11.94,13.325
1007,19.11,27.9,11.94,13.355
1007,19.2,28,12.62,13.365
1007,19.2,28,12.62,13.365
1007,19.2,27.5,12.62,13.335
1007,19.14,28.7,12.62,13.32
1007,19.19,27.4,12.62,13.345
1007,19.04,30.8,12.62,13.33
1007,19.09,29.9,12.62,13.335
1007,19.04,30.2,12.62,13.34
1007,19.11,29.5,12.62,13.34
1007,19.18,27.7,12.62,13.34
1007,19.25,27.2,12.62,13.345
1007,19.3,24.5,12.62,13.33
1007,19.21,26.3,11.39,13.315
1007,19.16,27.1,11.39,13.33
1007,19.2,26.3,11.39,13.35
1007,19.02,31.3,11.39,13.32
1007,19,30.5,11.39,13.335
1007,19.01,29.7,11.39,13.335
1007,18.98,30.7,11.39,13.315
1007,18.79,35.6,11.39,13.33
1007,18.87,32.6,11.39,13.33
1007,18.83,33,11.39,13.335
1007,18.89,30.7,11.39,13.36
1007,18.84,32.8,11.39,13.32
1007,18.89,32,11.53,13.32
1007,18.94,30.8,11.53,13.325
1007,18.91,31.7,11.53,13.34
1007,18.9,30.8,11.53,13.33
1007,18.87,31.7,11.53,13.33
1007,18.77,34.2,11.53,13.33
1007,18.36,39.6,11.53,13.315
1007,18.46,35.3,11.53,13.325
1007,18.45,35.4,11.53,13.345
1007,18.42,35.3,11.53,13.325
1007,18.3,39.6,11.53,13.32
1007,18.39,39.3,11.53,13.325
1007,17.2,37.1,11.31,13.34
1007,17.15,40.6,11.31,13.33
1007,17.18,39.5,11.31,13.34
1007,17.26,38.9,11.31,13.35
1007,17.22,41.2,11.31,13.37
1007,17.19,42.6,11.31,13.37
1007,17.4,37.4,11.31,13.365
1007,17.18,39,11.31,13.345
1007,17.3,39.3,11.31,13.32
1007,17.21,39.5,11.31,13.335
1007,17.25,40.7,11.31,13.335
1007,17.36,38.2,11.31,13.335
1007,17.13,47.9,12.22,13.32
1007,17.13,48,12.22,13.33
1007,17.14,47.3,12.22,13.35
1007,17,52.4,12.22,13.34
1007,17.05,48.9,12.22,13.345
1007,17.07,49.8,12.22,13.35
1007,17.1,47.5,12.22,13.31
1007,17.14,47,12.22,13.335
1007,17.26,43.4,12.22,13.33
1007,17.21,46.1,12.22,13.34
1007,17.44,39.9,12.22,13.365
1007,17.55,38.3,12.22,13.355
1007,17.58,34.3,10.89,13.37
1007,17.19,44.4,10.89,13.35
1007,16.94,50.1,10.89,13.33
1007,16.86,52.7,10.89,13.375
1007,16.72,52.4,10.89,13.345
1007,16.83,50.1,10.89,13.36
1007,16.82,48.5,10.89,13.355
1007,16.75,51.9,10.89,13.32
1007,16.8,52.4,10.89,13.34
1007,16.8,50.6,10.89,13.32
1007,16.87,48.8,10.89,13.345
1007,16.97,47.1,10.89,13.35
1007,17.16,40.7,9.67,13.375
1007,17.33,36.5,9.67,13.34
1007,17.27,37.7,9.67,13.335
1007,16.05,16.4,9.67,13.37
1007,15.49,38.9,9.67,13.38
1007,15.63,35.6,9.67,13.385
1007,15.7,32.5,9.67,13.4
1007,15.69,33.7,9.67,13.37
1007,15.69,33.1,9.67,13.385
1007,15.74,31.8,9.67,13.39
1007,15.8,29.3,9.67,13.39
1007,15.87,30.2,9.67,13.39
1007,15.93,27.8,6.7,13.39
1007,16,27.4,6.7,13.4
1007,16.1,24.5,6.7,13.41
1007,16.2,22.4,6.7,13.4
1007,16.14,23.2,6.7,13.42
1007,15.99,29.2,6.7,13.43
1007,16.01,28.5,6.7,13.41
1007,16.07,27.4,6.7,13.395
1007,16.1,25.6,6.7,13.4
1007,16.02,28.9,6.7,13.405
